shot_type,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted,top2_recall
close-up,0.8767123287671232,0.8533333333333334,0.8648648648648649,75,9,11,0.6803335547447205,0.96
medium,0.9333333333333333,0.7865168539325843,0.8536585365853658,89,5,19,0.6308127045631409,0.9662921348314607
object,0.864406779661017,0.9107142857142857,0.8869565217391304,56,8,5,0.7620758414268494,0.9821428571428571
space,0.7857142857142857,0.9565217391304348,0.8627450980392157,23,6,1,0.7736631035804749,1.0
wide,0.75,0.9375,0.8333333333333334,32,10,2,0.7277817726135254,1.0
