bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,4,0.25,0.381813645362854,0.131813645362854
0.4,0.5,10,0.3,0.45785030722618103,0.15785030722618104
0.5,0.6000000000000001,29,0.5862068965517241,0.5495871305465698,0.036619766005154264
0.6000000000000001,0.7000000000000001,45,0.8444444444444444,0.6421917676925659,0.20225267675187852
0.7000000000000001,0.8,40,0.85,0.7641597986221313,0.08584020137786863
0.8,0.9,68,0.9264705882352942,0.8428122997283936,0.0836582885069006
0.9,1.0,79,0.8987341772151899,0.9610140919685364,0.06227991475334649
