shot_type,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
close-up,0.9193548387096774,0.76,0.8321167883211679,75,5,18,0.7149442434310913
medium,0.8314606741573034,0.8314606741573034,0.8314606741573034,89,15,15,0.7409123778343201
object,0.7638888888888888,0.9821428571428571,0.859375,56,17,1,0.8707060813903809
space,0.8666666666666667,0.5652173913043478,0.6842105263157895,23,2,10,0.8518206477165222
wide,0.7567567567567568,0.875,0.8115942028985508,32,9,4,0.7838989496231079
