bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,26,0.8076923076923077,0.5572966933250427,0.250395614367265
0.6000000000000001,0.7000000000000001,27,0.7407407407407407,0.655715823173523,0.08502491756721775
0.7000000000000001,0.8,37,0.7297297297297297,0.7490890026092529,0.019359272879523215
0.8,0.9,47,0.9148936170212766,0.8540869355201721,0.060806681501104465
0.9,1.0,138,0.9927536231884058,0.9632603526115417,0.029493270576864017
