bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,2,0.0,0.26690027117729187,0.26690027117729187
0.30000000000000004,0.4,25,0.32,0.36591869592666626,0.04591869592666625
0.4,0.5,32,0.59375,0.4580463767051697,0.13570362329483032
0.5,0.6000000000000001,46,0.8043478260869565,0.5545846819877625,0.2497631440991941
0.6000000000000001,0.7000000000000001,46,0.7608695652173914,0.6416404843330383,0.11922908088435302
0.7000000000000001,0.8,50,0.82,0.740882158279419,0.079117841720581
0.8,0.9,43,0.8604651162790697,0.8448017239570618,0.015663392322007974
0.9,1.0,31,0.9032258064516129,0.9417689442634583,0.038543137811845374
