bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,2,0.0,0.3432687520980835,0.3432687520980835
0.4,0.5,12,0.4166666666666667,0.4636071026325226,0.0469404359658559
0.5,0.6000000000000001,33,0.6060606060606061,0.5602220892906189,0.04583851676998718
0.6000000000000001,0.7000000000000001,34,0.7352941176470589,0.6486949324607849,0.08659918518627396
0.7000000000000001,0.8,42,0.8333333333333334,0.7515195608139038,0.08181377251942956
0.8,0.9,54,0.8888888888888888,0.8516886234283447,0.03720026546054411
0.9,1.0,98,0.9591836734693877,0.9626756906509399,0.0034920171815522316
