shot_type,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
close-up,0.8857142857142857,0.8266666666666667,0.8551724137931035,75,8,13,0.740703284740448
medium,0.8873239436619719,0.7078651685393258,0.7875,89,8,26,0.7548542618751526
object,0.8771929824561403,0.8928571428571429,0.8849557522123894,56,7,6,0.8762551546096802
space,0.6764705882352942,1.0,0.8070175438596491,23,11,0,0.8358164429664612
wide,0.6744186046511628,0.90625,0.7733333333333333,32,14,3,0.8112046718597412
