bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,1,0.0,0.29972749948501587,0.29972749948501587
0.30000000000000004,0.4,5,0.2,0.35149499773979187,0.15149499773979186
0.4,0.5,20,0.55,0.4534669518470764,0.09653304815292363
0.5,0.6000000000000001,34,0.6470588235294118,0.5574514269828796,0.08960739654653216
0.6000000000000001,0.7000000000000001,40,0.775,0.6505127549171448,0.12448724508285525
0.7000000000000001,0.8,44,0.7954545454545454,0.7445170879364014,0.05093745751814405
0.8,0.9,54,0.8888888888888888,0.8454321622848511,0.043456726604037765
0.9,1.0,77,0.935064935064935,0.9482393860816956,0.013174451016760513
