text_class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
notext,0.8604651162790697,0.9736842105263158,0.9135802469135802,38,6,1,0.9236976985860464
text,0.9956896551724138,0.9746835443037974,0.9850746268656716,237,1,6,0.9524666547844828
