threshold,coverage,reliability_joint_accuracy_when_covered,reliable_guide_ratio_correct_and_covered
0.5,0.9054545454545454,0.8353413654618473,0.7563636363636363
0.6,0.7818181818181819,0.8651162790697674,0.6763636363636364
0.7,0.6363636363636364,0.8857142857142857,0.5636363636363636
0.8,0.4763636363636364,0.916030534351145,0.43636363636363634
0.9,0.28,0.935064935064935,0.26181818181818184
