experiment,shot_acc,shot_macro_f1
dinov2_shot_512_256,0.8,0.7960301768816542
dinov2_shot_512_256_closeup_1_5,0.7818181818181819,0.7802786312156558
dinov2_shot_768_384,0.7890909090909091,0.7846872468391611
dinov2_shot_linear,0.7090909090909091,0.7237005984669536
