experiment,backbone,model_name,pretrained,shot_acc,shot_macro_f1,text_acc,text_macro_f1,text_f1,joint_acc,text_threshold,val_text_macro_f1_at_threshold
clip_vit_l14_openai_multitask_512_256,clip_vit_l14_openai,ViT-L-14,openai,0.7854545454545454,0.7961665416822863,0.8690909090909091,0.7954545454545454,0.9181818181818182,0.6872727272727273,0.79,0.8204425711275026
clip_vit_l14_openai_multitask_768_384,clip_vit_l14_openai,ViT-L-14,openai,0.7672727272727272,0.781291615913936,0.9054545454545454,0.8359489720998532,0.9427312775330396,0.7018181818181818,0.66,0.8091947403781553
clip_vit_l14_openai_multitask_512_256_closeup_1_5,clip_vit_l14_openai,ViT-L-14,openai,0.7709090909090909,0.7864480543561917,0.8545454545454545,0.7786898438757444,0.908256880733945,0.6581818181818182,0.8,0.8046633193479606
clip_vit_h14_laion2b_multitask_512_256,clip_vit_h14_laion2b,ViT-H-14,laion2b_s32b_b79k,0.7672727272727272,0.7686580380319977,0.9054545454545454,0.8208199679230153,0.9439655172413793,0.7018181818181818,0.5,0.7755462575546257
clip_vit_h14_laion2b_multitask_768_384,clip_vit_h14_laion2b,ViT-H-14,laion2b_s32b_b79k,0.7418181818181818,0.7385797779076564,0.9236363636363636,0.8447956139643635,0.9554140127388535,0.68,0.36,0.8068072529380028
clip_vit_h14_laion2b_multitask_512_256_closeup_1_5,clip_vit_h14_laion2b,ViT-H-14,laion2b_s32b_b79k,0.7745454545454545,0.7808493815519142,0.84,0.7565588282633189,0.8990825688073395,0.6436363636363637,0.92,0.8065226125386482
