alpha_clip,val_shot_acc,val_shot_macro_f1
0.0,0.8309859154929577,0.8164895370658476
0.01,0.8309859154929577,0.8164895370658476
0.02,0.8309859154929577,0.8164895370658476
0.03,0.8274647887323944,0.8141426352550285
0.04,0.8274647887323944,0.8141426352550285
0.05,0.823943661971831,0.8112503360545992
0.06,0.823943661971831,0.8112503360545992
0.07,0.8169014084507042,0.8028341959854763
0.08,0.8169014084507042,0.8028341959854763
0.09,0.8169014084507042,0.8028341959854763
0.1,0.8169014084507042,0.8028341959854763
0.11,0.8169014084507042,0.8028341959854763
0.12,0.8169014084507042,0.8028341959854763
0.13,0.8169014084507042,0.8028341959854763
0.14,0.8169014084507042,0.8028341959854763
0.15,0.8169014084507042,0.8028341959854763
0.16,0.8169014084507042,0.8028341959854763
0.17,0.8169014084507042,0.8028341959854763
0.18,0.8169014084507042,0.8028341959854763
0.19,0.8169014084507042,0.8028341959854763
0.2,0.8204225352112676,0.8051173772032808
0.21,0.8204225352112676,0.8051173772032808
0.22,0.8204225352112676,0.8051173772032808
0.23,0.823943661971831,0.8074867741765163
0.24,0.823943661971831,0.8074867741765163
0.25,0.8204225352112676,0.803931434327362
0.26,0.8204225352112676,0.8033871786814071
0.27,0.8204225352112676,0.8033871786814071
0.28,0.823943661971831,0.8069817961832481
0.29,0.8274647887323944,0.8105304087655176
0.3,0.8309859154929577,0.8180782243708347
0.31,0.8309859154929577,0.8151245755043609
0.32,0.8309859154929577,0.8151245755043609
0.33,0.8309859154929577,0.8151245755043609
0.34,0.8274647887323944,0.8127484121366214
0.35,0.8274647887323944,0.8127484121366214
0.36,0.8274647887323944,0.8127484121366214
0.37,0.8274647887323944,0.8127484121366214
0.38,0.8274647887323944,0.8125447016751364
0.39,0.8309859154929577,0.8160369583699767
0.4,0.8309859154929577,0.8160369583699767
0.41,0.8309859154929577,0.8160369583699767
0.42,0.8345070422535211,0.8189968086400702
0.43,0.8345070422535211,0.8189968086400702
0.44,0.8345070422535211,0.8189968086400702
0.45,0.8380281690140845,0.8263139359571975
0.46,0.8380281690140845,0.8263139359571975
0.47,0.8380281690140845,0.8263139359571975
0.48,0.8345070422535211,0.82023240743307
0.49,0.8345070422535211,0.82023240743307
0.5,0.8345070422535211,0.82023240743307
0.51,0.8380281690140845,0.8272832030966774
0.52,0.8450704225352113,0.8408453919504474
0.53,0.8415492957746479,0.8346799490290928
0.54,0.8380281690140845,0.8290912130239656
0.55,0.8309859154929577,0.8223440244151762
0.56,0.8274647887323944,0.8192423490727349
0.57,0.823943661971831,0.8153654147895077
0.58,0.823943661971831,0.8153654147895077
0.59,0.8274647887323944,0.8217465216589609
0.6,0.823943661971831,0.8186461906174534
0.61,0.823943661971831,0.8193563669035366
0.62,0.823943661971831,0.8193563669035366
0.63,0.8169014084507042,0.8138307355065377
0.64,0.8133802816901409,0.8114168189913487
0.65,0.8169014084507042,0.8152828680629561
0.66,0.8133802816901409,0.8128611274368811
0.67,0.8133802816901409,0.8128611274368811
0.68,0.8063380281690141,0.808000897978502
0.69,0.8063380281690141,0.808000897978502
0.7,0.8028169014084507,0.8055614021303679
0.71,0.7992957746478874,0.8031149760911177
0.72,0.795774647887324,0.7997190374049814
0.73,0.795774647887324,0.7997190374049814
0.74,0.795774647887324,0.7997190374049814
0.75,0.795774647887324,0.7965399510050672
0.76,0.795774647887324,0.7965399510050672
0.77,0.7922535211267606,0.7907568118156354
0.78,0.7922535211267606,0.7907568118156354
0.79,0.7922535211267606,0.7907568118156354
0.8,0.7887323943661971,0.7872616632860041
0.81,0.7852112676056338,0.7850055739937701
0.82,0.7816901408450704,0.7817904650815637
0.83,0.7816901408450704,0.7817904650815637
0.84,0.7816901408450704,0.7817904650815637
0.85,0.7816901408450704,0.7817904650815637
0.86,0.778169014084507,0.779331062695332
0.87,0.7746478873239436,0.7768632163918112
0.88,0.7746478873239436,0.7768632163918112
0.89,0.7711267605633803,0.7743864012580242
0.9,0.7711267605633803,0.7743864012580242
0.91,0.7746478873239436,0.7776581072179826
0.92,0.7711267605633803,0.7740973367366847
0.93,0.7711267605633803,0.7740973367366847
0.94,0.7711267605633803,0.7740973367366847
0.95,0.7711267605633803,0.7740973367366847
0.96,0.7676056338028169,0.7701935384529994
0.97,0.7676056338028169,0.7701935384529994
0.98,0.7711267605633803,0.7735222023547381
0.99,0.7676056338028169,0.7710378000033173
1.0,0.7676056338028169,0.7710378000033173
