shot_type,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
close-up,0.8676470588235294,0.7866666666666666,0.8251748251748252,75,9,16,0.7045127749443054
medium,0.8701298701298701,0.7528089887640449,0.8072289156626506,89,10,22,0.6696022152900696
object,0.8333333333333334,0.9821428571428571,0.9016393442622951,56,11,1,0.8373038172721863
space,0.8,0.8695652173913043,0.8333333333333334,23,5,3,0.7768803238868713
wide,0.7692307692307693,0.9375,0.8450704225352113,32,9,2,0.7484096884727478
