bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,3,0.3333333333333333,0.3926767110824585,0.05934337774912518
0.4,0.5,15,0.6,0.4759083092212677,0.12409169077873228
0.5,0.6000000000000001,39,0.5897435897435898,0.5550501942634583,0.034693395480131506
0.6000000000000001,0.7000000000000001,58,0.8620689655172413,0.6478785276412964,0.21419043787594494
0.7000000000000001,0.8,60,0.8666666666666667,0.7498787045478821,0.11678796211878462
0.8,0.9,37,0.9459459459459459,0.844963788986206,0.10098215695973989
0.9,1.0,63,0.9682539682539683,0.9451003670692444,0.02315360118472387
