text_threshold,val_joint_acc,val_text_acc,val_text_macro_f1
0.05,0.6901408450704225,0.8169014084507042,0.4679348609309699
0.06,0.6901408450704225,0.8133802816901409,0.46652489810384545
0.07,0.6901408450704225,0.8133802816901409,0.4832286194939403
0.08,0.6971830985915493,0.8204225352112676,0.5176983783423795
0.09,0.6971830985915493,0.8204225352112676,0.5447430457331448
0.1,0.704225352112676,0.8274647887323944,0.5743691695977978
0.11,0.7147887323943662,0.8380281690140845,0.615764705882353
0.12,0.7253521126760564,0.8485915492957746,0.6539235412474849
0.13,0.7253521126760564,0.8485915492957746,0.6620451086204511
0.14,0.7253521126760564,0.8450704225352113,0.6581682897472372
0.15,0.7253521126760564,0.8450704225352113,0.6581682897472372
0.16,0.7253521126760564,0.8450704225352113,0.6581682897472372
0.17,0.7253521126760564,0.8450704225352113,0.6658108686350022
0.18,0.721830985915493,0.8450704225352113,0.6730507587650445
0.19,0.721830985915493,0.8450704225352113,0.6799180327868852
0.2,0.7183098591549296,0.8415492957746479,0.676020990189368
0.21,0.7147887323943662,0.8380281690140845,0.6721870922412928
0.22,0.7147887323943662,0.8380281690140845,0.6786698150334514
0.23,0.7147887323943662,0.8380281690140845,0.6848402972112323
0.24,0.7183098591549296,0.8415492957746479,0.6946017635672809
0.25,0.7183098591549296,0.8450704225352113,0.7095304509530451
0.26,0.7183098591549296,0.8450704225352113,0.7146510778224333
0.27,0.7183098591549296,0.8450704225352113,0.7146510778224333
0.28,0.7183098591549296,0.8450704225352113,0.7146510778224333
0.29,0.721830985915493,0.8450704225352113,0.719543944698806
0.3,0.721830985915493,0.8450704225352113,0.724223163841808
0.31,0.7253521126760564,0.8485915492957746,0.7327029570775057
0.32,0.7253521126760564,0.8485915492957746,0.7327029570775057
0.33,0.7288732394366197,0.8485915492957746,0.7369860653442744
0.34,0.7288732394366197,0.8485915492957746,0.7369860653442744
0.35,0.7288732394366197,0.8485915492957746,0.7369860653442744
0.36,0.7288732394366197,0.8485915492957746,0.7450255767825451
0.37,0.7288732394366197,0.8450704225352113,0.7448337825696316
0.38,0.7253521126760564,0.8415492957746479,0.7409126847365539
0.39,0.7253521126760564,0.8415492957746479,0.7409126847365539
0.4,0.7288732394366197,0.8450704225352113,0.7484702093397746
0.41,0.7359154929577465,0.852112676056338,0.7632393807066296
0.42,0.7359154929577465,0.852112676056338,0.7632393807066296
0.43,0.7429577464788732,0.852112676056338,0.7725053402502289
0.44,0.7429577464788732,0.852112676056338,0.7725053402502289
0.45,0.7394366197183099,0.852112676056338,0.778125
0.46,0.7359154929577465,0.8485915492957746,0.7742156155823026
0.47,0.7359154929577465,0.8485915492957746,0.7768886452909474
0.48,0.7359154929577465,0.8485915492957746,0.7768886452909474
0.49,0.7359154929577465,0.8485915492957746,0.7768886452909474
0.5,0.7394366197183099,0.852112676056338,0.7833478639930253
0.51,0.7359154929577465,0.8485915492957746,0.7794672686230248
0.52,0.7359154929577465,0.8450704225352113,0.7756230697407168
0.53,0.7323943661971831,0.8380281690140845,0.7680397727272728
0.54,0.7323943661971831,0.8380281690140845,0.7680397727272728
0.55,0.7323943661971831,0.8345070422535211,0.7642987056559128
0.56,0.7253521126760564,0.8274647887323944,0.7594676346037508
0.57,0.721830985915493,0.8274647887323944,0.7619365323753315
0.58,0.721830985915493,0.8274647887323944,0.7619365323753315
0.59,0.7253521126760564,0.8274647887323944,0.7666314500846875
0.6,0.721830985915493,0.823943661971831,0.7630173564753004
0.61,0.7183098591549296,0.823943661971831,0.7652582159624413
0.62,0.7183098591549296,0.823943661971831,0.7652582159624413
0.63,0.7147887323943662,0.8204225352112676,0.7616783216783216
0.64,0.7112676056338029,0.8204225352112676,0.7638542430912203
0.65,0.7077464788732394,0.8169014084507042,0.7603064338115951
0.66,0.7007042253521126,0.8098591549295775,0.7532818532818533
0.67,0.6936619718309859,0.8028169014084507,0.746347687400319
0.68,0.6901408450704225,0.7992957746478874,0.7429129544046882
0.69,0.6901408450704225,0.795774647887324,0.739498987854251
0.7,0.676056338028169,0.7816901408450704,0.7260393328354493
0.71,0.6654929577464789,0.7711267605633803,0.716135381587243
0.72,0.6619718309859155,0.7676056338028169,0.7128676470588236
0.73,0.6549295774647887,0.7640845070422535,0.7117624782246459
0.74,0.647887323943662,0.7535211267605634,0.7020919498891087
0.75,0.6408450704225352,0.7464788732394366,0.6957142857142857
0.76,0.6338028169014085,0.7359154929577465,0.6862433160988113
0.77,0.6302816901408451,0.7323943661971831,0.6831101714822645
0.78,0.6232394366197183,0.7253521126760564,0.6768772973919132
0.79,0.6197183098591549,0.7183098591549296,0.6706864564007421
0.8,0.6126760563380281,0.7112676056338029,0.6645347162201094
0.81,0.6056338028169014,0.7007042253521126,0.6553742487187174
0.82,0.5880281690140845,0.6830985915492958,0.6402634690086134
0.83,0.5598591549295775,0.6549295774647887,0.6164066376316224
0.84,0.5422535211267606,0.6373239436619719,0.6034541190505239
0.85,0.5246478873239436,0.6161971830985915,0.585745446759538
0.86,0.5105633802816901,0.5950704225352113,0.568075117370892
0.87,0.5035211267605634,0.5880281690140845,0.5621845971407866
0.88,0.4823943661971831,0.5598591549295775,0.5385715214141807
0.89,0.4471830985915493,0.5211267605633803,0.5058088950304519
0.9,0.41901408450704225,0.4894366197183099,0.4796234283186959
0.91,0.3873239436619718,0.4507042253521127,0.4453125
0.92,0.3415492957746479,0.40492957746478875,0.4032649102957815
0.93,0.3204225352112676,0.3767605633802817,0.37638170382224867
0.94,0.2887323943661972,0.33098591549295775,0.33068717439841233
0.95,0.2605633802816901,0.3028169014084507,0.3011185682326622
