class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
notext,0.43478260869565216,0.5263157894736842,0.47619047619047616,38,26,18,0.7784464359283447,0.5263157894736842
text,0.9213973799126638,0.890295358649789,0.9055793991416309,237,18,26,0.9430271983146667,
