bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,2,0.5,0.48146528005599976,0.018534719944000244
0.5,0.6000000000000001,28,0.4642857142857143,0.550078809261322,0.08579309497560772
0.6000000000000001,0.7000000000000001,36,0.5833333333333334,0.6556751728057861,0.07234183947245276
0.7000000000000001,0.8,43,0.7209302325581395,0.7510467171669006,0.03011648460876115
0.8,0.9,54,0.8333333333333334,0.8498385548591614,0.016505221525828007
0.9,1.0,112,0.9732142857142857,0.959250271320343,0.01396401439394268
