bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,14,0.6428571428571429,0.5426582098007202,0.10019893305642269
0.6000000000000001,0.7000000000000001,20,0.45,0.656498908996582,0.20649890899658202
0.7000000000000001,0.8,13,0.3076923076923077,0.7532803416252136,0.4455880339329059
0.8,0.9,32,0.5625,0.8547095060348511,0.2922095060348511
0.9,1.0,196,0.9744897959183674,0.990612268447876,0.016122472529508602
