class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
close-up,0.8852459016393442,0.72,0.7941176470588235,75,7,21,0.8082923293113708,
medium,0.74,0.8314606741573034,0.783068783068783,89,26,15,0.7777183055877686,
object,0.8524590163934426,0.9285714285714286,0.8888888888888888,56,9,4,0.904945969581604,0.9285714285714286
space,0.8181818181818182,0.782608695652174,0.8,23,4,5,0.8521620035171509,0.782608695652174
wide,0.7096774193548387,0.6875,0.6984126984126984,32,9,10,0.7924138307571411,0.6875
