class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
space,0.8181818181818182,0.782608695652174,0.8,23,4,5,0.8521620035171509,0.782608695652174
wide,0.7096774193548387,0.6875,0.6984126984126984,32,9,10,0.7924138307571411,0.6875
