target,ECE,MCE,high_confidence_accuracy,low_confidence_accuracy,high_confidence_count,low_confidence_count,overconfidence_ratio_wrong_conf_ge_0_8,underconfidence_ratio_correct_conf_lt_0_5
shot,0.03197760993784123,0.08579309497560772,0.927710843373494,0.5,166,2,0.04363636363636364,0.0036363636363636364
text,0.08667678724635729,0.4455880339329059,0.9166666666666666,,228,0,0.06909090909090909,0.0
joint,0.08840201291170988,0.2194239114815334,0.8790322580645161,0.45454545454545453,124,22,0.05454545454545454,0.03636363636363636
