video_id,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_confidence
6,5,1.0,1.0,0.9326318
17,14,0.42857142857142855,0.42857142857142855,0.75237787
19,4,0.5,0.25,0.601212
20,5,1.0,1.0,0.88214886
25,12,1.0,0.3333333333333333,0.5366345
30,26,0.8076923076923077,0.7692307692307693,0.6963342
31,3,1.0,0.6666666666666666,0.61323017
56,34,0.8529411764705882,0.8529411764705882,0.88395786
57,8,0.875,0.875,0.79632044
68,6,1.0,0.8333333333333334,0.89994806
69,7,1.0,1.0,0.941935
75,10,0.9,0.4,0.6118601
97,6,0.3333333333333333,0.3333333333333333,0.7346086
100,5,0.8,0.6,0.76271236
106,8,0.75,0.5,0.73102564
110,5,0.6,0.6,0.8503693
114,15,0.8,0.5333333333333333,0.6978572
119,14,0.5714285714285714,0.5,0.7234066
122,3,0.6666666666666666,0.3333333333333333,0.63725203
138,7,0.7142857142857143,0.2857142857142857,0.7384928
139,6,0.6666666666666666,0.16666666666666666,0.46149185
144,9,0.8888888888888888,0.8888888888888888,0.66030216
148,1,0.0,0.0,0.5791854
157,9,0.8888888888888888,0.8888888888888888,0.6110402
164,2,1.0,0.5,0.75707245
179,1,1.0,1.0,0.7472666
185,5,1.0,0.2,0.7726165
189,4,0.5,0.5,0.6047778
194,4,0.75,0.75,0.7401656
210,21,0.9523809523809523,0.9523809523809523,0.8654655
211,9,0.6666666666666666,0.6666666666666666,0.7697351
217,2,1.0,1.0,0.91234124
219,5,1.0,1.0,0.8788271
