bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,5,0.4,0.3480342924594879,0.05196570754051211
0.4,0.5,17,0.47058823529411764,0.46340641379356384,0.007181821500553798
0.5,0.6000000000000001,41,0.4146341463414634,0.5472627282142639,0.13262858187280052
0.6000000000000001,0.7000000000000001,53,0.4339622641509434,0.6533861756324768,0.2194239114815334
0.7000000000000001,0.8,35,0.6857142857142857,0.755609393119812,0.06989510740552629
0.8,0.9,50,0.78,0.8494962453842163,0.06949624538421628
0.9,1.0,74,0.9459459459459459,0.9586520791053772,0.012706133159431254
