bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,1,0.0,0.28292059898376465,0.28292059898376465
0.30000000000000004,0.4,2,1.0,0.380479633808136,0.619520366191864
0.4,0.5,25,0.76,0.47073817253112793,0.2892618274688721
0.5,0.6000000000000001,65,0.6,0.5469310879707336,0.053068912029266335
0.6000000000000001,0.7000000000000001,60,0.8833333333333333,0.6467881798744202,0.23654515345891314
0.7000000000000001,0.8,52,0.9038461538461539,0.753481924533844,0.15036422931230986
0.8,0.9,35,0.8857142857142857,0.853193998336792,0.032520287377493684
0.9,1.0,35,0.9714285714285714,0.9321946501731873,0.03923392125538416
