bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,9,0.7777777777777778,0.5574910044670105,0.2202867733107673
0.6000000000000001,0.7000000000000001,13,0.6153846153846154,0.6513016223907471,0.03591700700613165
0.7000000000000001,0.8,23,0.8695652173913043,0.753793478012085,0.11577173937921936
0.8,0.9,78,0.9615384615384616,0.8563699722290039,0.10516848930945766
0.9,1.0,152,0.9868421052631579,0.9411330223083496,0.045709082954808244
