bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,2,0.5,0.2632160782814026,0.2367839217185974
0.30000000000000004,0.4,16,0.75,0.35690903663635254,0.39309096336364746
0.4,0.5,65,0.6615384615384615,0.4618983566761017,0.19964010486235984
0.5,0.6000000000000001,66,0.6666666666666666,0.5487046837806702,0.11796198288599646
0.6000000000000001,0.7000000000000001,48,0.8958333333333334,0.6374056935310364,0.258427639802297
0.7000000000000001,0.8,39,0.8717948717948718,0.7436214089393616,0.12817346285551023
0.8,0.9,36,0.9444444444444444,0.8380752801895142,0.10636916425493026
0.9,1.0,3,0.6666666666666666,0.9094827771186829,0.24281611045201623
