shot_type,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
close-up,0.8082191780821918,0.7866666666666666,0.7972972972972973,75,14,16,0.6290953755378723
medium,0.8493150684931506,0.6966292134831461,0.7654320987654321,89,11,27,0.5772199630737305
object,0.8666666666666667,0.9285714285714286,0.896551724137931,56,8,4,0.7881448864936829
space,0.8214285714285714,1.0,0.9019607843137255,23,5,0,0.8316479325294495
wide,0.7073170731707317,0.90625,0.7945205479452054,32,12,3,0.7366818785667419
