round,class,candidate_alpha,val_shot_macro_f1,alpha_close-up,alpha_medium,alpha_object,alpha_space,alpha_wide
1,close-up,0.0,0.8497326619809478,0.0,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.05,0.8497326619809478,0.05000000074505806,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.1,0.8497326619809478,0.10000000149011612,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.15,0.8473936740646739,0.15000000596046448,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.2,0.8473936740646739,0.20000000298023224,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.25,0.8497300369423131,0.25,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.3,0.85195488420317,0.30000001192092896,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.35,0.8426024642986029,0.3499999940395355,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.4,0.8426024642986029,0.4000000059604645,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.45,0.8426024642986029,0.44999998807907104,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.5,0.8460065213625414,0.5,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.55,0.847110928788411,0.550000011920929,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.6,0.847110928788411,0.6000000238418579,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.65,0.847110928788411,0.6499999761581421,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.7,0.8447924624395211,0.699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.75,0.8424673653563053,0.75,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.8,0.8401351565552215,0.800000011920929,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.85,0.8401351565552215,0.8500000238418579,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.9,0.8377953510708253,0.8999999761581421,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,0.95,0.8377953510708253,0.949999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,close-up,1.0,0.8377953510708253,1.0,0.4699999988079071,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.0,0.8271082086546386,0.30000001192092896,0.0,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.05,0.8349729760482448,0.30000001192092896,0.05000000074505806,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.1,0.8349729760482448,0.30000001192092896,0.10000000149011612,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.15,0.8349729760482448,0.30000001192092896,0.15000000596046448,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.2,0.8349729760482448,0.30000001192092896,0.20000000298023224,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.25,0.8349729760482448,0.30000001192092896,0.25,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.3,0.8349729760482448,0.30000001192092896,0.30000001192092896,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.35,0.8429130750528875,0.30000001192092896,0.3499999940395355,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.4,0.8491114437998599,0.30000001192092896,0.4000000059604645,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.45,0.8520727546185242,0.30000001192092896,0.44999998807907104,0.4699999988079071,0.4699999988079071,0.4699999988079071
1,medium,0.5,0.8472786742508864,0.30000001192092896,0.5,0.4699999988079071,0.4699999988079071,0.4699999988079071
