alpha_clip,val_shot_acc,val_shot_macro_f1
0.4,0.823943661971831,0.8111851066753027
0.41,0.823943661971831,0.8111851066753027
0.42,0.8274647887323944,0.816916470539659
0.43,0.8274647887323944,0.816916470539659
0.44,0.8309859154929577,0.820917596873881
0.45,0.8415492957746479,0.8396665153836794
0.46,0.8450704225352113,0.8426024642986029
0.47,0.8485915492957746,0.8460065213625414
0.48,0.8485915492957746,0.8460065213625414
0.49,0.8450704225352113,0.8428106359320191
0.5,0.8415492957746479,0.8407196878166708
0.51,0.8415492957746479,0.8384896064988527
0.52,0.8415492957746479,0.8384896064988527
0.53,0.8415492957746479,0.8384896064988527
0.54,0.8415492957746479,0.8384896064988527
0.55,0.8415492957746479,0.8384896064988527
0.56,0.8345070422535211,0.8322048260560931
0.57,0.8345070422535211,0.8322048260560931
0.58,0.8345070422535211,0.8322048260560931
0.59,0.8309859154929577,0.8298847818847819
0.6,0.8309859154929577,0.8298847818847819
