text_threshold,val_text_macro_f1,val_text_acc,val_joint_acc
0.05,0.6619673605416987,0.8415492957746479,0.7429577464788732
0.06,0.6544743858559188,0.8345070422535211,0.7359154929577465
0.07,0.6544743858559188,0.8345070422535211,0.7359154929577465
0.08,0.676020990189368,0.8415492957746479,0.7394366197183099
0.09,0.676020990189368,0.8415492957746479,0.7394366197183099
0.1,0.6825239100732828,0.8415492957746479,0.7394366197183099
0.11,0.6926406926406926,0.8450704225352113,0.7429577464788732
0.12,0.6926406926406926,0.8450704225352113,0.7429577464788732
0.13,0.702545365972476,0.8485915492957746,0.7464788732394366
0.14,0.7122454887580816,0.852112676056338,0.7464788732394366
0.15,0.7081750185198461,0.8485915492957746,0.7429577464788732
0.16,0.7041666666666666,0.8450704225352113,0.7394366197183099
0.17,0.7041666666666666,0.8450704225352113,0.7394366197183099
0.18,0.7041666666666666,0.8450704225352113,0.7394366197183099
0.19,0.7186628884742092,0.8485915492957746,0.7429577464788732
0.2,0.7276214833759591,0.852112676056338,0.7464788732394366
0.21,0.7235540464063384,0.8485915492957746,0.7429577464788732
0.22,0.719543944698806,0.8450704225352113,0.7394366197183099
0.23,0.719543944698806,0.8450704225352113,0.7394366197183099
0.24,0.719543944698806,0.8450704225352113,0.7394366197183099
0.25,0.719543944698806,0.8450704225352113,0.7394366197183099
0.26,0.719543944698806,0.8450704225352113,0.7394366197183099
0.27,0.7282296650717703,0.8485915492957746,0.7394366197183099
0.28,0.7367584745762712,0.852112676056338,0.7394366197183099
0.29,0.7367584745762712,0.852112676056338,0.7394366197183099
0.3,0.7451353776785519,0.8556338028169014,0.7429577464788732
0.31,0.7492192716073314,0.8556338028169014,0.7429577464788732
0.32,0.7451282051282051,0.852112676056338,0.7394366197183099
0.33,0.753132486696207,0.8556338028169014,0.7429577464788732
0.34,0.753132486696207,0.8556338028169014,0.7429577464788732
0.35,0.7610031136918287,0.8591549295774648,0.7464788732394366
0.36,0.7610031136918287,0.8591549295774648,0.7464788732394366
0.37,0.7610031136918287,0.8591549295774648,0.7464788732394366
0.38,0.7687441277795177,0.8626760563380281,0.75
0.39,0.7687441277795177,0.8626760563380281,0.75
0.4,0.7838527203538003,0.8697183098591549,0.7570422535211268
0.41,0.7796291758555909,0.8661971830985915,0.7535211267605634
0.42,0.7869726518944999,0.8697183098591549,0.7570422535211268
0.43,0.7928519328956966,0.8697183098591549,0.7605633802816901
0.44,0.7928519328956966,0.8697183098591549,0.7605633802816901
0.45,0.8024576860653838,0.8732394366197183,0.7640845070422535
0.46,0.8091947403781553,0.8767605633802817,0.7676056338028169
0.47,0.8091947403781553,0.8767605633802817,0.7676056338028169
0.48,0.8091947403781553,0.8767605633802817,0.7676056338028169
0.49,0.8116246896734701,0.8767605633802817,0.7676056338028169
0.5,0.8116246896734701,0.8767605633802817,0.7676056338028169
0.51,0.8116246896734701,0.8767605633802817,0.7676056338028169
0.52,0.8033351425202597,0.8697183098591549,0.7676056338028169
0.53,0.7992559523809524,0.8661971830985915,0.7640845070422535
0.54,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.55,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.56,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.57,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.58,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.59,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.6,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.61,0.7952188141327861,0.8626760563380281,0.7605633802816901
0.62,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.63,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.64,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.65,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.66,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.67,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.68,0.7912225244431375,0.8591549295774648,0.7570422535211268
0.69,0.7872659176029962,0.8556338028169014,0.7535211267605634
0.7,0.7833478639930253,0.852112676056338,0.75
0.71,0.7833478639930253,0.852112676056338,0.75
0.72,0.7794672686230248,0.8485915492957746,0.7464788732394366
0.73,0.7794672686230248,0.8485915492957746,0.7464788732394366
0.74,0.7794672686230248,0.8485915492957746,0.7464788732394366
0.75,0.7756230697407168,0.8450704225352113,0.7464788732394366
0.76,0.7756230697407168,0.8450704225352113,0.7464788732394366
0.77,0.7756230697407168,0.8450704225352113,0.7464788732394366
0.78,0.778125,0.8450704225352113,0.7429577464788732
0.79,0.770565507551809,0.8380281690140845,0.7394366197183099
0.8,0.770565507551809,0.8380281690140845,0.7394366197183099
0.81,0.770565507551809,0.8380281690140845,0.7394366197183099
0.82,0.7767568606215173,0.8415492957746479,0.7429577464788732
0.83,0.7767568606215173,0.8415492957746479,0.7429577464788732
0.84,0.7791029297381384,0.8415492957746479,0.7429577464788732
0.85,0.7791029297381384,0.8415492957746479,0.7429577464788732
0.86,0.7776416122004357,0.8380281690140845,0.7359154929577465
0.87,0.7782982045277127,0.8345070422535211,0.7323943661971831
0.88,0.7710242698477993,0.8274647887323944,0.7288732394366197
0.89,0.7603064338115951,0.8169014084507042,0.7183098591549296
0.9,0.7532818532818533,0.8098591549295775,0.7112676056338029
0.91,0.739498987854251,0.795774647887324,0.6971830985915493
0.92,0.7327310370788631,0.7887323943661971,0.6936619718309859
0.93,0.7260393328354493,0.7816901408450704,0.6866197183098591
0.94,0.716135381587243,0.7711267605633803,0.6795774647887324
0.95,0.7150155081189564,0.7676056338028169,0.6725352112676056
