bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,1,0.0,0.36886492371559143,0.36886492371559143
0.4,0.5,11,0.5454545454545454,0.47713902592658997,0.06831551952795545
0.5,0.6000000000000001,46,0.4782608695652174,0.5569028854370117,0.07864201587179431
0.6000000000000001,0.7000000000000001,44,0.6590909090909091,0.6511218547821045,0.007969054308804568
0.7000000000000001,0.8,32,0.625,0.7473728656768799,0.12237286567687988
0.8,0.9,49,0.8979591836734694,0.8526913523674011,0.04526783130606826
0.9,1.0,92,0.9456521739130435,0.9470210671424866,0.0013688932294431133
