class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
space,0.7142857142857143,0.8695652173913043,0.7843137254901961,23,8,3,0.8358358144760132,0.8695652173913043
wide,0.7272727272727273,0.75,0.7384615384615385,32,9,8,0.7088833451271057,0.75
