class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
notext,0.4,0.631578947368421,0.4897959183673469,38,36,14,0.7682581543922424,0.631578947368421
text,0.9348837209302325,0.8481012658227848,0.8893805309734514,237,14,36,0.927311360836029,
