video_path,video_name,video_id,scene_index,start_frame,end_frame,start_time,end_time,duration_sec,threshold,fps,detector,sampled_frame_indices,sampled_frame_paths
C:\Temp\deep\videos\0022_DXWtSqsEk71.mp4,0022_DXWtSqsEk71.mp4,0022,1,0,96,0.0,3.657204700061843,3.695300582354154,27.0,26.24955611546071,PySceneDetect ContentDetector,"[19, 48, 77]","[""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_001_frame_01_000019.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_001_frame_02_000048.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_001_frame_03_000077.jpg""]"
C:\Temp\deep\videos\0022_DXWtSqsEk71.mp4,0022_DXWtSqsEk71.mp4,0022,2,97,202,3.695300582354154,7.695368223046795,4.038163522984951,27.0,26.24955611546071,PySceneDetect ContentDetector,"[118, 150, 181]","[""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_002_frame_01_000118.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_002_frame_02_000150.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_002_frame_03_000181.jpg""]"
C:\Temp\deep\videos\0022_DXWtSqsEk71.mp4,0022_DXWtSqsEk71.mp4,0022,3,203,368,7.733464105339105,14.019284683570397,6.323916460523604,27.0,26.24955611546071,PySceneDetect ContentDetector,"[236, 286, 335]","[""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_003_frame_01_000236.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_003_frame_02_000286.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_003_frame_03_000335.jpg""]"
C:\Temp\deep\videos\0022_DXWtSqsEk71.mp4,0022_DXWtSqsEk71.mp4,0022,4,369,461,14.057380565862708,17.56220173675531,3.5429170531849103,27.0,26.24955611546071,PySceneDetect ContentDetector,"[387, 415, 443]","[""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_004_frame_01_000387.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_004_frame_02_000415.jpg"", ""C:\\Temp\\deep\\outputs_video_pyscenedetect_compare\\0022_DXWtSqsEk71\\scene_frames\\scene_004_frame_03_000443.jpg""]"
