model,shot_acc,shot_macro_f1,text_acc,text_f1,joint_acc
ResNet18 frozen backbone baseline,0.7104247104247104,0.7071751112269045,0.6602316602316602,0.7621621621621621,0.4980694980694981
CLIP ViT-B/32 frozen embeddings,0.803088803088803,0.775768114947776,0.8648648648648649,0.9168646080760094,0.7027027027027027
