epoch,train_loss,train_shot_acc,train_shot_macro_f1,train_text_acc,train_text_f1,train_joint_acc,val_loss,val_shot_acc,val_shot_macro_f1,val_text_acc,val_text_f1,val_joint_acc
1,2.219727792951502,0.5686546463245492,0.4431324832965151,0.8391123439667129,0.8980667838312829,0.492371705963939,2.22040057182312,0.6153846153846154,0.3839185331576636,0.8173076923076923,0.8932584269662921,0.4807692307692308
2,2.089523347836096,0.6532593619972261,0.6027182588577942,0.7558945908460472,0.8236472945891784,0.49375866851595007,2.122824192047119,0.6490384615384616,0.5102209704864167,0.7596153846153846,0.84375,0.4855769230769231
3,1.917900828481878,0.6588072122052705,0.6311685768982149,0.753120665742025,0.8168724279835391,0.49514563106796117,1.9936895370483398,0.5913461538461539,0.48845406281084724,0.7548076923076923,0.8401253918495298,0.44711538461538464
4,1.7375865543103581,0.6712898751733704,0.6416745126210394,0.7697642163661581,0.8323232323232324,0.5187239944521498,1.8557817935943604,0.6057692307692307,0.507199733938399,0.7692307692307693,0.8509316770186336,0.46634615384615385
5,1.565125901226197,0.6837725381414702,0.6588639187339028,0.7808599167822469,0.8397565922920892,0.536754507628294,1.739781379699707,0.6153846153846154,0.5206890756302521,0.7788461538461539,0.85625,0.49038461538461536
6,1.4173188140091386,0.7128987517337032,0.6893785024811601,0.8030513176144244,0.8582834331337326,0.5783633841886269,1.631843090057373,0.625,0.5383632878988915,0.7788461538461539,0.8571428571428571,0.4951923076923077
7,1.283367799819756,0.7323162274618585,0.71922560874625,0.8099861303744799,0.8642220019821606,0.5963938973647711,1.546382188796997,0.6346153846153846,0.564434492481843,0.7836538461538461,0.8598130841121495,0.5144230769230769
8,1.178799142784616,0.7600554785020804,0.7524813864931336,0.8252427184466019,0.8757396449704142,0.6269070735090153,1.4799854755401611,0.625,0.5707181808490134,0.7788461538461539,0.8588957055214724,0.5096153846153846
9,1.0879956908761712,0.7669902912621359,0.7543531960132308,0.8363384188626907,0.8852140077821011,0.6435506241331485,1.4181146621704102,0.6538461538461539,0.5840694428638438,0.7788461538461539,0.8597560975609756,0.5240384615384616
10,1.0166777192140914,0.7891816920943134,0.7815052652658769,0.8363384188626907,0.8845401174168297,0.6629680998613038,1.3649399280548096,0.6490384615384616,0.5926640060897315,0.7884615384615384,0.8641975308641975,0.5288461538461539
11,0.953106703606128,0.7891816920943134,0.7852874173905601,0.8613037447988904,0.904397705544933,0.6837725381414702,1.345535397529602,0.6298076923076923,0.5827988924268619,0.7836538461538461,0.8615384615384616,0.5192307692307693
12,0.8957738066182553,0.8085991678224688,0.7996396240832835,0.8626907073509015,0.904162633107454,0.6962552011095701,1.2885128259658813,0.6634615384615384,0.6202229585942607,0.7740384615384616,0.8544891640866873,0.5384615384615384
13,0.8476691019518531,0.8169209431345353,0.8103788850925024,0.8765603328710125,0.9157994323557237,0.7170596393897365,1.264733076095581,0.6634615384615384,0.6266147682476414,0.7836538461538461,0.8632218844984803,0.5480769230769231
14,0.8031918067541929,0.826629680998613,0.8197836741874254,0.8682385575589459,0.9078564500484966,0.7170596393897365,1.2338132858276367,0.6634615384615384,0.6211799547969761,0.7836538461538461,0.8615384615384616,0.5432692307692307
15,0.7626368809341557,0.8377253814147018,0.8306972458399684,0.8793342579750347,0.9162656400384985,0.7337031900138696,1.2139301300048828,0.6634615384615384,0.6211799547969761,0.7884615384615384,0.8658536585365854,0.5480769230769231
