text_class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
notext,0.7254901960784313,0.9736842105263158,0.8314606741573034,38,14,1,0.8608580827713013
text,0.9955357142857143,0.9409282700421941,0.9674620390455532,237,1,14,0.877984344959259
