shot_type,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
close-up,0.8787878787878788,0.7733333333333333,0.8226950354609929,75,8,17,0.6682818531990051
medium,0.8701298701298701,0.7528089887640449,0.8072289156626506,89,10,22,0.6204759478569031
object,0.84375,0.9642857142857143,0.9,56,10,2,0.799873948097229
space,0.8148148148148148,0.9565217391304348,0.88,23,5,1,0.7774555683135986
wide,0.7560975609756098,0.96875,0.8493150684931506,32,10,1,0.7316753268241882
