bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,1,0.0,0.3386271297931671,0.3386271297931671
0.4,0.5,20,0.55,0.46516457200050354,0.0848354279994965
0.5,0.6000000000000001,58,0.6896551724137931,0.5543637871742249,0.1352913852395683
0.6000000000000001,0.7000000000000001,63,0.8888888888888888,0.65035080909729,0.2385380797915988
0.7000000000000001,0.8,47,0.8936170212765957,0.7450283765792847,0.14858864469731103
0.8,0.9,45,0.9777777777777777,0.8443630933761597,0.13341468440161808
0.9,1.0,41,0.9512195121951219,0.9337896108627319,0.017429901332389974
