alpha_siglip2,alpha_dinov3,val_shot_acc,val_shot_macro_f1
0.0,1.0,0.8309859154929577,0.8164895370658476
0.01,0.99,0.8309859154929577,0.8164895370658476
0.02,0.98,0.8274647887323944,0.8141426352550285
0.03,0.97,0.8274647887323944,0.8141426352550285
0.04,0.96,0.823943661971831,0.8112503360545992
0.05,0.95,0.823943661971831,0.8112503360545992
0.06,0.94,0.8204225352112676,0.8088853164588103
0.07,0.9299999999999999,0.8204225352112676,0.8088853164588103
0.08,0.92,0.8169014084507042,0.8028341959854763
0.09,0.91,0.8169014084507042,0.8028341959854763
0.1,0.9,0.8133802816901409,0.8004655854520977
0.11,0.89,0.8133802816901409,0.8004655854520977
0.12,0.88,0.8133802816901409,0.8004655854520977
0.13,0.87,0.8133802816901409,0.8004655854520977
0.14,0.86,0.8133802816901409,0.8004655854520977
0.15,0.85,0.8133802816901409,0.8004655854520977
0.16,0.84,0.8133802816901409,0.8004655854520977
0.17,0.83,0.8133802816901409,0.8004655854520977
0.18,0.8200000000000001,0.8133802816901409,0.8004655854520977
0.19,0.81,0.8133802816901409,0.8004655854520977
0.2,0.8,0.8133802816901409,0.8004655854520977
0.21,0.79,0.8098591549295775,0.7970218146590687
0.22,0.78,0.8098591549295775,0.7970218146590687
0.23,0.77,0.8098591549295775,0.7970218146590687
0.24,0.76,0.8098591549295775,0.795920443043492
0.25,0.75,0.8098591549295775,0.795920443043492
0.26,0.74,0.8098591549295775,0.795920443043492
0.27,0.73,0.8133802816901409,0.7982258571630274
0.28,0.72,0.8169014084507042,0.8017883772351434
0.29,0.71,0.8169014084507042,0.8017883772351434
0.3,0.7,0.8204225352112676,0.805305301106432
0.31,0.69,0.8204225352112676,0.805305301106432
0.32,0.6799999999999999,0.8204225352112676,0.805305301106432
0.33,0.6699999999999999,0.8204225352112676,0.805305301106432
0.34,0.6599999999999999,0.8204225352112676,0.805305301106432
0.35,0.65,0.8204225352112676,0.805305301106432
0.36,0.64,0.823943661971831,0.8082228448955734
0.37,0.63,0.823943661971831,0.8082228448955734
0.38,0.62,0.8274647887323944,0.810604754955689
0.39,0.61,0.823943661971831,0.8093820932333603
0.4,0.6,0.823943661971831,0.8093820932333603
0.41,0.5900000000000001,0.823943661971831,0.8093820932333603
0.42,0.5800000000000001,0.823943661971831,0.8093820932333603
0.43,0.5700000000000001,0.823943661971831,0.8093820932333603
0.44,0.56,0.823943661971831,0.8093820932333603
0.45,0.55,0.823943661971831,0.8093820932333603
0.46,0.54,0.8274647887323944,0.8179641020033254
0.47,0.53,0.8309859154929577,0.8214928079933307
0.48,0.52,0.8274647887323944,0.8190912488457023
0.49,0.51,0.8274647887323944,0.8190912488457023
0.5,0.5,0.8274647887323944,0.8190912488457023
0.51,0.49,0.8309859154929577,0.826422301106375
0.52,0.48,0.8345070422535211,0.8302503435231084
0.53,0.47,0.8380281690140845,0.8333165259122299
0.54,0.45999999999999996,0.8380281690140845,0.8333165259122299
0.55,0.44999999999999996,0.8380281690140845,0.8357900037769106
0.56,0.43999999999999995,0.8345070422535211,0.8299185805141829
0.57,0.43000000000000005,0.8345070422535211,0.8299185805141829
0.58,0.42000000000000004,0.8345070422535211,0.8299185805141829
0.59,0.41000000000000003,0.8380281690140845,0.8359500328731098
0.6,0.4,0.8345070422535211,0.8325810087348549
0.61,0.39,0.8345070422535211,0.8378416171733555
0.62,0.38,0.8274647887323944,0.832257315107045
0.63,0.37,0.8309859154929577,0.8345811596488188
0.64,0.36,0.8345070422535211,0.8380651680611313
0.65,0.35,0.8345070422535211,0.8380651680611313
0.66,0.33999999999999997,0.8345070422535211,0.8380651680611313
0.67,0.32999999999999996,0.8380281690140845,0.845624079856502
0.68,0.31999999999999995,0.8380281690140845,0.845624079856502
0.69,0.31000000000000005,0.8380281690140845,0.845624079856502
0.7,0.30000000000000004,0.8309859154929577,0.8408729167379343
0.71,0.29000000000000004,0.8274647887323944,0.8373875447683151
0.72,0.28,0.823943661971831,0.8349658892617823
0.73,0.27,0.8274647887323944,0.8383213690310551
0.74,0.26,0.823943661971831,0.8360222854401297
0.75,0.25,0.8169014084507042,0.8276035897409709
0.76,0.24,0.8133802816901409,0.824178958192744
0.77,0.22999999999999998,0.8098591549295775,0.8217560019086754
0.78,0.21999999999999997,0.8098591549295775,0.8217560019086754
0.79,0.20999999999999996,0.8098591549295775,0.8217560019086754
0.8,0.19999999999999996,0.8028169014084507,0.8168843261022032
0.81,0.18999999999999995,0.7992957746478874,0.813324174724514
0.82,0.18000000000000005,0.7992957746478874,0.813324174724514
0.83,0.17000000000000004,0.795774647887324,0.8108546843107314
0.84,0.16000000000000003,0.795774647887324,0.8108546843107314
0.85,0.15000000000000002,0.795774647887324,0.8108546843107314
0.86,0.14,0.795774647887324,0.8071614352914918
0.87,0.13,0.7887323943661971,0.8012649408962773
0.88,0.12,0.7852112676056338,0.7987459721160711
0.89,0.10999999999999999,0.7816901408450704,0.7962149184549505
0.9,0.09999999999999998,0.7852112676056338,0.8027261434217955
0.91,0.08999999999999997,0.7816901408450704,0.800490759571899
0.92,0.07999999999999996,0.7816901408450704,0.800490759571899
0.93,0.06999999999999995,0.7816901408450704,0.800490759571899
0.94,0.06000000000000005,0.7816901408450704,0.800490759571899
0.95,0.050000000000000044,0.778169014084507,0.7979548277809148
0.96,0.040000000000000036,0.778169014084507,0.7979548277809148
0.97,0.030000000000000027,0.7746478873239436,0.7954058899634348
0.98,0.020000000000000018,0.7711267605633803,0.7931835121400339
0.99,0.010000000000000009,0.7711267605633803,0.7931835121400339
1.0,0.0,0.7676056338028169,0.7909578845498648
