text_threshold,val_joint_acc,val_text_acc,val_text_macro_f1
0.05,0.7429577464788732,0.8838028169014085,0.7278034329528622
0.06,0.7535211267605634,0.897887323943662,0.7720769337207694
0.07,0.7711267605633803,0.9154929577464789,0.8254098360655737
0.08,0.7746478873239436,0.9190140845070423,0.8344107283190103
0.09,0.778169014084507,0.9225352112676056,0.8432199136806182
0.1,0.778169014084507,0.9225352112676056,0.8432199136806182
0.11,0.7816901408450704,0.926056338028169,0.851844491367532
0.12,0.795774647887324,0.9401408450704225,0.8846273329031951
0.13,0.7992957746478874,0.9436619718309859,0.8924242424242425
0.14,0.8098591549295775,0.954225352112676,0.9149445941898772
0.15,0.8133802816901409,0.9577464788732394,0.9221775666788454
0.16,0.8169014084507042,0.9612676056338029,0.9292812676853424
0.17,0.8169014084507042,0.9612676056338029,0.9292812676853424
0.18,0.8169014084507042,0.9612676056338029,0.9292812676853424
0.19,0.8204225352112676,0.9647887323943662,0.9362599874315468
0.2,0.8204225352112676,0.9647887323943662,0.9362599874315468
0.21,0.823943661971831,0.9683098591549296,0.9431178368754869
0.22,0.8204225352112676,0.9647887323943662,0.9373234463276836
0.23,0.8204225352112676,0.9647887323943662,0.9373234463276836
0.24,0.8204225352112676,0.9647887323943662,0.9373234463276836
0.25,0.8204225352112676,0.9647887323943662,0.9373234463276836
0.26,0.823943661971831,0.9683098591549296,0.9440541072952919
0.27,0.823943661971831,0.9683098591549296,0.9440541072952919
0.28,0.823943661971831,0.9683098591549296,0.9440541072952919
0.29,0.823943661971831,0.9683098591549296,0.9440541072952919
0.3,0.823943661971831,0.9683098591549296,0.9440541072952919
0.31,0.8274647887323944,0.971830985915493,0.9506730351715154
0.32,0.8274647887323944,0.971830985915493,0.9506730351715154
0.33,0.8274647887323944,0.971830985915493,0.9506730351715154
0.34,0.8274647887323944,0.971830985915493,0.9506730351715154
0.35,0.8274647887323944,0.9683098591549296,0.9449505718162434
0.36,0.8274647887323944,0.971830985915493,0.9514529914529914
0.37,0.8274647887323944,0.971830985915493,0.9514529914529914
0.38,0.8274647887323944,0.971830985915493,0.9514529914529914
0.39,0.8274647887323944,0.971830985915493,0.9514529914529914
0.4,0.8274647887323944,0.971830985915493,0.9514529914529914
0.41,0.8274647887323944,0.971830985915493,0.9514529914529914
0.42,0.8274647887323944,0.971830985915493,0.9514529914529914
0.43,0.8274647887323944,0.9753521126760564,0.9578518879725232
0.44,0.8274647887323944,0.9753521126760564,0.958492535755298
0.45,0.8274647887323944,0.9753521126760564,0.958492535755298
0.46,0.8274647887323944,0.9788732394366197,0.9646883289124668
0.47,0.8274647887323944,0.9753521126760564,0.9591072714182866
0.48,0.823943661971831,0.971830985915493,0.9536061422853876
0.49,0.823943661971831,0.971830985915493,0.9536061422853876
0.5,0.823943661971831,0.971830985915493,0.9536061422853876
0.51,0.823943661971831,0.971830985915493,0.9536061422853876
0.52,0.823943661971831,0.971830985915493,0.9536061422853876
0.53,0.823943661971831,0.971830985915493,0.9536061422853876
0.54,0.823943661971831,0.971830985915493,0.9536061422853876
0.55,0.823943661971831,0.971830985915493,0.9536061422853876
0.56,0.823943661971831,0.971830985915493,0.9536061422853876
0.57,0.8204225352112676,0.9683098591549296,0.9481825369473108
0.58,0.8169014084507042,0.9647887323943662,0.9428341384863124
0.59,0.8169014084507042,0.9647887323943662,0.9428341384863124
0.6,0.8169014084507042,0.9647887323943662,0.9428341384863124
0.61,0.8133802816901409,0.9612676056338029,0.9375587135975696
0.62,0.8133802816901409,0.9612676056338029,0.9375587135975696
0.63,0.8133802816901409,0.9612676056338029,0.9375587135975696
0.64,0.8098591549295775,0.9577464788732394,0.9323541087733227
0.65,0.8098591549295775,0.9577464788732394,0.9323541087733227
0.66,0.8098591549295775,0.9577464788732394,0.9332706766917294
0.67,0.8063380281690141,0.954225352112676,0.9281921618204805
0.68,0.7992957746478874,0.9436619718309859,0.9133353677143728
0.69,0.795774647887324,0.9401408450704225,0.9085034206985426
0.7,0.7922535211267606,0.9366197183098591,0.903728813559322
0.71,0.7887323943661971,0.9330985915492958,0.8990099380509442
0.72,0.7887323943661971,0.9330985915492958,0.8990099380509442
0.73,0.7852112676056338,0.9295774647887324,0.8943452380952381
0.74,0.7711267605633803,0.9154929577464789,0.8761987794245858
0.75,0.7640845070422535,0.9084507042253521,0.8674136321195145
0.76,0.7640845070422535,0.9084507042253521,0.8674136321195145
0.77,0.7570422535211268,0.8943661971830986,0.8503688092729189
0.78,0.7429577464788732,0.8802816901408451,0.8339638214457665
0.79,0.7323943661971831,0.8697183098591549,0.822040069774925
0.8,0.7323943661971831,0.8661971830985915,0.8181327940680823
0.81,0.7147887323943662,0.8450704225352113,0.795335429769392
0.82,0.7077464788732394,0.8309859154929577,0.7806949806949807
0.83,0.6936619718309859,0.8028169014084507,0.7525516554642768
0.84,0.6725352112676056,0.778169014084507,0.728970688479891
0.85,0.6443661971830986,0.7464788732394366,0.6997885835095138
0.86,0.6267605633802817,0.721830985915493,0.6777871924861053
0.87,0.602112676056338,0.6866197183098591,0.6471360165291564
0.88,0.5704225352112676,0.6514084507042254,0.6171099399436205
0.89,0.5352112676056338,0.6091549295774648,0.5815046397706002
0.9,0.49295774647887325,0.5669014084507042,0.5459543770715539
0.91,0.43309859154929575,0.5035211267605634,0.49187254939282044
0.92,0.3626760563380282,0.43309859154929575,0.4293558975126986
0.93,0.3204225352112676,0.3732394366197183,0.3729595633837757
0.94,0.2711267605633803,0.30633802816901406,0.30488153366382154
0.95,0.22535211267605634,0.25704225352112675,0.25026586760418884
