frame_idx,time_sec,clip_distance
8,0.26666666666666666,0.021524608
16,0.5333333333333333,0.050914347
24,0.8,0.048253834
32,1.0666666666666667,0.19315493
40,1.3333333333333333,0.14833796
48,1.6,0.044093788
56,1.8666666666666667,0.07393849
64,2.1333333333333333,0.19344795
72,2.4,0.18073761
80,2.6666666666666665,0.08769286
88,2.933333333333333,0.14396942
96,3.2,0.16609108
104,3.466666666666667,0.08981764
112,3.7333333333333334,0.22677958
120,4.0,0.12573922
128,4.266666666666667,0.1693821
136,4.533333333333333,0.09958947
144,4.8,0.14020258
152,5.066666666666666,0.2327342
160,5.333333333333333,0.07076955
168,5.6,0.11677605
176,5.866666666666666,0.063355684
184,6.133333333333334,0.10633266
192,6.4,0.04866737
200,6.666666666666667,0.124385834
208,6.933333333333334,0.08020556
216,7.2,0.020146847
224,7.466666666666667,0.027694583
232,7.733333333333333,0.017605424
240,8.0,0.011289239
248,8.266666666666667,0.021775246
256,8.533333333333333,0.029264092
264,8.8,0.031140804
272,9.066666666666666,0.019284606
280,9.333333333333334,0.023795962
288,9.6,0.014709592
296,9.866666666666667,0.031370044
304,10.133333333333333,0.038455486
312,10.4,0.09334123
320,10.666666666666666,0.05229181
328,10.933333333333334,0.21899676
336,11.2,0.17007399
344,11.466666666666667,0.07039535
352,11.733333333333333,0.083780885
360,12.0,0.12394267
368,12.266666666666667,0.13810933
376,12.533333333333333,0.11563319
384,12.8,0.03183019
392,13.066666666666666,0.041805744
400,13.333333333333334,0.03345442
408,13.6,0.036897898
416,13.866666666666667,0.03431195
424,14.133333333333333,0.048320055
432,14.4,0.026619792
440,14.666666666666666,0.015249252
442,14.733333333333333,0.0059387684
