video_path,video_name,scene_index,start_frame,end_frame,start_time,end_time,duration_sec,threshold,fps,sampled_frame_indices,sampled_frame_paths
C:\Temp\deep\videos\0121_DXML1SXgZxk.mp4,0121_DXML1SXgZxk.mp4,1,0,71,0.0,2.3666666666666667,2.4,15.0,30.0,"[14, 36, 57]","[""C:\\Temp\\deep\\outputs_video_inference\\0121_DXML1SXgZxk\\scene_frames\\scene_001_frame_01_000014.jpg"", ""C:\\Temp\\deep\\outputs_video_inference\\0121_DXML1SXgZxk\\scene_frames\\scene_001_frame_02_000036.jpg"", ""C:\\Temp\\deep\\outputs_video_inference\\0121_DXML1SXgZxk\\scene_frames\\scene_001_frame_03_000057.jpg""]"
C:\Temp\deep\videos\0121_DXML1SXgZxk.mp4,0121_DXML1SXgZxk.mp4,2,72,277,2.4,9.233333333333333,6.866666666666666,15.0,30.0,"[113, 174, 236]","[""C:\\Temp\\deep\\outputs_video_inference\\0121_DXML1SXgZxk\\scene_frames\\scene_002_frame_01_000113.jpg"", ""C:\\Temp\\deep\\outputs_video_inference\\0121_DXML1SXgZxk\\scene_frames\\scene_002_frame_02_000174.jpg"", ""C:\\Temp\\deep\\outputs_video_inference\\0121_DXML1SXgZxk\\scene_frames\\scene_002_frame_03_000236.jpg""]"
