frame_idx,time_sec,clip_distance
8,0.26666666666666666,0.04404509
16,0.5333333333333333,0.035516977
24,0.8,0.023043334
32,1.0666666666666667,0.18834853
40,1.3333333333333333,0.04494816
48,1.6,0.016731322
56,1.8666666666666667,0.2654829
64,2.1333333333333333,0.056133866
72,2.4,0.033486247
80,2.6666666666666665,0.2117163
88,2.933333333333333,0.05378443
96,3.2,0.03784418
104,3.466666666666667,0.015450597
112,3.7333333333333334,0.14011872
120,4.0,0.068112135
128,4.266666666666667,0.029604018
136,4.533333333333333,0.20229805
144,4.8,0.0725258
152,5.066666666666666,0.027312517
160,5.333333333333333,0.029788375
168,5.6,0.10943401
176,5.866666666666666,0.049789727
184,6.133333333333334,0.052026868
192,6.4,0.18157333
200,6.666666666666667,0.036591113
208,6.933333333333334,0.020152688
214,7.133333333333334,0.015060425
