bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,2,0.5,0.2581503391265869,0.24184966087341309
0.30000000000000004,0.4,13,0.6923076923076923,0.3572106659412384,0.3350970263664539
0.4,0.5,27,0.5925925925925926,0.4608849883079529,0.13170760428463968
0.5,0.6000000000000001,60,0.7666666666666667,0.5509267449378967,0.21573992172877
0.6000000000000001,0.7000000000000001,44,0.8181818181818182,0.6577735543251038,0.16040826385671447
0.7000000000000001,0.8,53,0.8867924528301887,0.7488372325897217,0.13795522024046702
0.8,0.9,63,0.9206349206349206,0.8476070165634155,0.07302790407150506
0.9,1.0,13,1.0,0.9327419996261597,0.06725800037384033
