alpha_clip,val_shot_acc,val_shot_macro_f1
0.4,0.795774647887324,0.7949016865812206
0.41,0.7992957746478874,0.7988240491692349
0.42,0.8028169014084507,0.8022541389910292
0.43,0.8028169014084507,0.8022541389910292
0.44,0.8098591549295775,0.8130912836856437
0.45,0.8133802816901409,0.8199039499804897
0.46,0.8169014084507042,0.8254088517495015
0.47,0.8169014084507042,0.8214159437057773
0.48,0.8169014084507042,0.8214159437057773
0.49,0.8098591549295775,0.815786852107894
0.5,0.8028169014084507,0.8092706073570461
0.51,0.7992957746478874,0.8046078274071735
0.52,0.7992957746478874,0.8046078274071735
0.53,0.7992957746478874,0.8046078274071735
0.54,0.795774647887324,0.8022191083227863
0.55,0.7887323943661971,0.7974212895087404
0.56,0.7887323943661971,0.7974212895087404
0.57,0.778169014084507,0.7892664638732054
0.58,0.778169014084507,0.7892664638732054
0.59,0.778169014084507,0.7892664638732054
0.6,0.7746478873239436,0.7837160147463307
