text_class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_confidence_when_predicted
notext,0.7777777777777778,0.9210526315789473,0.8433734939759037,38,10,3,0.9286286234855652
text,0.9869565217391304,0.9578059071729957,0.9721627408993576,237,3,10,0.9637715220451355
