bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,8,0.75,0.36041706800460815,0.38958293199539185
0.4,0.5,20,0.5,0.4588126540184021,0.0411873459815979
0.5,0.6000000000000001,57,0.8070175438596491,0.5524410009384155,0.25457654292123355
0.6000000000000001,0.7000000000000001,47,0.8936170212765957,0.6528412699699402,0.24077575130665552
0.7000000000000001,0.8,52,0.8846153846153846,0.7485434412956238,0.1360719433197608
0.8,0.9,64,0.9375,0.8506811261177063,0.0868188738822937
0.9,1.0,27,1.0,0.9300557374954224,0.06994426250457764
