bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,5,0.6,0.5611750483512878,0.038824951648712136
0.6000000000000001,0.7000000000000001,3,0.3333333333333333,0.6702681183815002,0.33693478504816693
0.7000000000000001,0.8,5,0.8,0.7671446800231934,0.032855319976806685
0.8,0.9,12,0.6666666666666666,0.8395653367042542,0.17289867003758752
0.9,1.0,250,0.984,0.9789143204689026,0.005085679531097398
