metric,old_clip,new_clip,delta
shot_acc,0.7992277992277992,0.7636363636363637,-0.035591435591435516
shot_macro_f1,0.7642553651890452,0.7691711952295556,0.004915830040510327
text_acc,0.8378378378378378,0.8763636363636363,0.038525798525798516
text_f1,0.9004739336492891,0.9264069264069265,0.025932992757637385
joint_acc,0.6795366795366795,0.6618181818181819,-0.01771849771849765
