epoch,train_loss,train_shot_acc,train_shot_macro_f1,train_text_acc,train_text_f1,train_joint_acc,val_loss,val_shot_acc,val_shot_macro_f1,val_text_acc,val_text_f1,val_joint_acc
1,2.1015344073012705,0.6097728836889195,0.5752938441057793,0.779077770130764,0.8510440835266821,0.46249139710942877,2.11491511069553,0.5246478873239436,0.49328671056523293,0.8133802816901409,0.8803611738148984,0.426056338028169
2,1.75967134923994,0.604267033723331,0.5732429337355878,0.7584308327598073,0.8301886792452831,0.45147969717825187,1.8024089437135509,0.5140845070422535,0.49167541082235855,0.8063380281690141,0.8735632183908046,0.41901408450704225
3,1.4546597492095936,0.6675843083275981,0.6442261004393904,0.76668960770819,0.8345534407027818,0.5106675843083276,1.529732000659889,0.6302816901408451,0.6206791943436185,0.8133802816901409,0.8758782201405152,0.5387323943661971
4,1.2252798735151929,0.7343427391603579,0.7186795512036843,0.8024776324845148,0.8644307982994804,0.5946317962835512,1.332420354158106,0.7183098591549296,0.7151111211114041,0.8450704225352113,0.9009009009009009,0.6443661971830986
5,1.0808095005735068,0.7494838265657261,0.7371932461115914,0.8479008947006194,0.8997732426303855,0.6421197522367516,1.215534294155282,0.7253521126760564,0.7287274939332185,0.8591549295774648,0.9126637554585153,0.6443661971830986
6,0.9547346908309422,0.7749483826565726,0.7669494239761085,0.842395044735031,0.894712643678161,0.653819683413627,1.1230870208270114,0.7464788732394366,0.7463962858266491,0.8661971830985915,0.915929203539823,0.6654929577464789
7,0.8777441059566742,0.7900894700619409,0.7850580853522396,0.8589125946317963,0.9072817729534147,0.6792842395044735,1.0827835663943224,0.7711267605633803,0.7680841363286942,0.8661971830985915,0.9170305676855895,0.6725352112676056
8,0.8072259150860807,0.8072952512044047,0.8062994285921317,0.8334480385409497,0.8857412653446648,0.6772195457673779,1.0148961535641845,0.7816901408450704,0.774661604779878,0.852112676056338,0.9054054054054054,0.6795774647887324
9,0.7522779288820292,0.8086717136958018,0.808367187944782,0.830006882312457,0.8824369347929557,0.6772195457673779,0.9888525496066456,0.7640845070422535,0.7677348142024056,0.8591549295774648,0.9095022624434389,0.6584507042253521
10,0.7046000708076597,0.8293186510667584,0.8338697174016643,0.8699242945629732,0.9136592051164916,0.7267721954576738,0.9976506233215332,0.7570422535211268,0.7613969541839725,0.8626760563380281,0.9142857142857143,0.6584507042253521
11,0.6661086142350293,0.8368891947694426,0.8411324434571924,0.874741913282863,0.9166666666666666,0.7370956641431521,0.9614950594767718,0.7887323943661971,0.7832897859871476,0.8626760563380281,0.9142857142857143,0.6901408450704225
12,0.6538488880486958,0.8368891947694426,0.8409933414848106,0.9022711631108052,0.9373345101500441,0.7570543702684102,0.9958768789197358,0.7887323943661971,0.7892340682316056,0.8626760563380281,0.9164882226980728,0.6830985915492958
13,0.6026958511028303,0.856159669649002,0.8628823099132136,0.8671713695801789,0.9105238757533611,0.7460426703372333,0.9480822590035451,0.7605633802816901,0.7645292100427723,0.8661971830985915,0.9155555555555556,0.6619718309859155
14,0.5785039156695849,0.8547832071576049,0.859957169113585,0.8637302133516862,0.907735321528425,0.7426015141087405,0.9187744553660003,0.778169014084507,0.7819505703329765,0.8626760563380281,0.9123595505617977,0.6795774647887324
15,0.562603195166473,0.860977288368892,0.86581348680365,0.8534067446662078,0.9000469263256687,0.7377838953888507,0.9085498082805687,0.7816901408450704,0.7845947200359499,0.8661971830985915,0.9144144144144144,0.6866197183098591
16,0.53258899184481,0.8664831383344804,0.8709594777268066,0.8781830695113558,0.9184707508060801,0.7653131452167928,0.9173670150864293,0.795774647887324,0.7961374222434108,0.8591549295774648,0.9107142857142857,0.6936619718309859
17,0.5110115144717143,0.8671713695801789,0.8719372743967397,0.8953888506538197,0.9312839059674503,0.7770130763936682,0.9375548446682137,0.7711267605633803,0.777516165235024,0.8591549295774648,0.9122807017543859,0.6654929577464789
18,0.4901913489379804,0.8774948382656572,0.8818871097246298,0.8912594631796283,0.9279197080291971,0.7838953888506538,0.9200061652022349,0.7992957746478874,0.7963982654491065,0.8591549295774648,0.9118942731277533,0.6936619718309859
19,0.4780120113678661,0.8754301445285616,0.8844086507649138,0.8843771507226428,0.9227941176470589,0.7763248451479697,0.9034247364796383,0.7887323943661971,0.7925431307578713,0.8591549295774648,0.9103139013452914,0.6866197183098591
20,0.4636380526827519,0.8891947694425327,0.8954775875937425,0.88093599449415,0.9202397418165053,0.7880247763248451,0.9186735984305261,0.7852112676056338,0.7897747044923064,0.8626760563380281,0.912751677852349,0.6866197183098591
21,0.441173160437133,0.8905712319339298,0.8957506789505052,0.9029593943565037,0.9360544217687075,0.8031658637302134,0.9222571522417203,0.7816901408450704,0.784661114390223,0.8626760563380281,0.9135254988913526,0.6795774647887324
22,0.425822535302831,0.8974535443909153,0.9028010964769994,0.9112181693048864,0.9417607223476298,0.8196834136269787,0.9508716111451807,0.778169014084507,0.7819704715299092,0.8556338028169014,0.9098901098901099,0.6725352112676056
23,0.4136384559842692,0.9008947006194081,0.910111888353239,0.925671025464556,0.9519572953736655,0.8334480385409497,0.9603008376040929,0.7887323943661971,0.7959640672652446,0.852112676056338,0.9098712446351931,0.6725352112676056
24,0.40119958051056676,0.9064005505849966,0.9169159077978479,0.9194769442532691,0.9474629546475078,0.8341362697866483,0.9495403472806366,0.7922535211267606,0.7911990037687836,0.8556338028169014,0.9102844638949672,0.6901408450704225
25,0.3898029461944013,0.9015829318651066,0.9094847230171188,0.9091534755677908,0.9402714932126697,0.8196834136269787,0.9244916842017376,0.795774647887324,0.7963468464944017,0.8591549295774648,0.9111111111111111,0.6936619718309859
26,0.3820465987129041,0.9105299380591879,0.9206269169697296,0.9015829318651066,0.9349112426035503,0.8231245698554714,0.9353031457309992,0.7816901408450704,0.7897617383376067,0.852112676056338,0.90625,0.6795774647887324
27,0.3638315193011526,0.9201651754989677,0.9308300150068911,0.9208534067446662,0.9483610237988325,0.8479008947006194,0.9603328797179209,0.7676056338028169,0.7769517268748055,0.8556338028169014,0.9098901098901099,0.6690140845070423
28,0.35556447395192126,0.9105299380591879,0.9182904851405436,0.9194769442532691,0.9474629546475078,0.8375774260151411,0.93326267390184,0.7852112676056338,0.788478020752333,0.8415492957746479,0.9010989010989011,0.6725352112676056
