model,shot_acc,shot_macro_f1,text_acc,text_f1,joint_acc
ResNet18 frozen backbone baseline,0.7104247104247104,0.7071751112269045,0.6602316602316602,0.7621621621621621,0.4980694980694981
CLIP ViT-B/32 frozen embeddings,0.7992277992277992,0.7642553651890452,0.8378378378378378,0.9004739336492891,0.6795366795366795
