frame_idx,time_sec,clip_distance
8,0.26666666666666666,0.031891108
16,0.5333333333333333,0.019830048
24,0.8,0.037144303
32,1.0666666666666667,0.03182161
40,1.3333333333333333,0.04980886
48,1.6,0.07278657
56,1.8666666666666667,0.015081108
64,2.1333333333333333,0.006733477
72,2.4,0.009941995
80,2.6666666666666665,0.12579256
88,2.933333333333333,0.06767833
96,3.2,0.21351278
104,3.466666666666667,0.21771598
112,3.7333333333333334,0.012275338
120,4.0,0.020601928
128,4.266666666666667,0.01816678
136,4.533333333333333,0.09625304
144,4.8,0.010350525
152,5.066666666666666,0.012482762
155,5.166666666666667,0.0043203235
