bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,1,1.0,0.23293304443359375,0.7670669555664062
0.30000000000000004,0.4,12,0.3333333333333333,0.3601725399494171,0.0268392066160838
0.4,0.5,21,0.5238095238095238,0.4620864987373352,0.06172302507218863
0.5,0.6000000000000001,39,0.6666666666666666,0.5488601326942444,0.11780653397242224
0.6000000000000001,0.7000000000000001,40,0.575,0.6516209840774536,0.07662098407745366
0.7000000000000001,0.8,46,0.717391304347826,0.7464847564697266,0.02909345212190051
0.8,0.9,56,0.8928571428571429,0.8530491590499878,0.03980798380715511
0.9,1.0,60,0.9333333333333333,0.9514150619506836,0.018081728617350246
