class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
close-up,0.9491525423728814,0.7466666666666667,0.835820895522388,75,3,19,0.8098965287208557,
medium,0.8488372093023255,0.8202247191011236,0.8342857142857143,89,13,16,0.7816412448883057,
object,0.85,0.9107142857142857,0.8793103448275862,56,9,5,0.7738490700721741,0.9107142857142857
space,0.7333333333333333,0.9565217391304348,0.8301886792452831,23,8,1,0.7902113795280457,0.9565217391304348
wide,0.75,0.9375,0.8333333333333334,32,10,2,0.7872002720832825,0.9375
