threshold,coverage,reliability_joint_accuracy_when_covered,reliable_guide_ratio_correct_and_covered,covered_count
0.5,0.8763636363636363,0.7800829875518672,0.6836363636363636,241
0.6,0.7345454545454545,0.801980198019802,0.5890909090909091,202
0.7,0.5890909090909091,0.8580246913580247,0.5054545454545455,162
0.8,0.4218181818181818,0.9137931034482759,0.38545454545454544,116
0.9,0.21818181818181817,0.9333333333333333,0.20363636363636364,60
