experiment,shot_acc,shot_macro_f1,text_acc,text_f1,joint_acc,text_threshold,val_text_macro_f1_at_threshold
clip_stronger_retrained,0.8072727272727273,0.8080895792660499,0.8945454545454545,0.9376344086021505,0.7272727272727273,,
dinov2_shot_retrained,0.8,0.7960301768816542,,,,,
ensemble_alpha_clip_0.50,0.8436363636363636,0.8425877934428609,0.8945454545454545,0.9376344086021505,0.7418181818181818,0.5,0.8116246896734701
