target,ECE,MCE,high_confidence_accuracy,low_confidence_accuracy,high_confidence_count,low_confidence_count,overconfidence_ratio_wrong_conf_ge_0_8,underconfidence_ratio_correct_conf_lt_0_5
shot,0.06016399253498423,0.29124684135119117,0.935064935064935,0.6,154,20,0.03636363636363636,0.04363636363636364
text,0.06524886283007535,0.37950706481933594,0.940677966101695,,236,0,0.05090909090909091,0.0
joint,0.05344387184489858,0.7670669555664062,0.9137931034482759,0.47058823529411764,116,34,0.03636363636363636,0.05818181818181818
