alpha_clip,val_shot_macro_f1
0.0,0.7693673402052601
0.05,0.7777132313949181
0.1,0.7828896641575578
0.15000000000000002,0.7869745408334561
0.2,0.7985019352599446
0.25,0.8250961944075288
0.30000000000000004,0.8159678925333574
0.35000000000000003,0.8182813428401664
0.4,0.8111851066753027
0.45,0.8396665153836794
0.5,0.8407196878166708
0.55,0.8384896064988527
0.6000000000000001,0.8298847818847819
0.65,0.8215025087296025
0.7000000000000001,0.819172097930205
0.75,0.8196210439461616
0.8,0.8196210439461616
0.8500000000000001,0.8137755692953679
0.9,0.8090869446937982
0.9500000000000001,0.8090869446937982
1.0,0.8011412559433276
