bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,13,0.8461538461538461,0.5647755265235901,0.28137831963025606
0.6000000000000001,0.7000000000000001,10,0.7,0.6519923806190491,0.04800761938095088
0.7000000000000001,0.8,16,0.375,0.7545070648193359,0.37950706481933594
0.8,0.9,26,0.7307692307692307,0.8486299514770508,0.11786072070782005
0.9,1.0,210,0.9666666666666667,0.9888997673988342,0.022233100732167554
