video_id,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_confidence
75,10,0.9,0.2,0.591123
185,5,1.0,0.2,0.80570793
19,4,0.5,0.25,0.5977948
138,7,0.7142857142857143,0.2857142857142857,0.7019597
25,12,1.0,0.3333333333333333,0.50788695
97,6,0.3333333333333333,0.3333333333333333,0.7160148
139,6,0.6666666666666666,0.3333333333333333,0.44189748
122,3,0.6666666666666666,0.3333333333333333,0.62247354
17,14,0.42857142857142855,0.42857142857142855,0.769999
119,14,0.5714285714285714,0.5,0.7175478
