bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,1,0.0,0.2569734752178192,0.2569734752178192
0.30000000000000004,0.4,3,0.0,0.3316754400730133,0.3316754400730133
0.4,0.5,26,0.34615384615384615,0.4587714970111847,0.11261765085733855
0.5,0.6000000000000001,38,0.47368421052631576,0.5514262318611145,0.07774202133479874
0.6000000000000001,0.7000000000000001,45,0.4444444444444444,0.6444482207298279,0.20000377628538346
0.7000000000000001,0.8,29,0.6896551724137931,0.746808648109436,0.057153475695642886
0.8,0.9,59,0.7627118644067796,0.8446126580238342,0.0819007936170546
0.9,1.0,74,0.9459459459459459,0.9560645818710327,0.010118635925086772
