class,precision,recall_per_class_accuracy,f1,support,false_positive_count,false_negative_count,avg_prediction_confidence_for_predicted_class,minority_class_recall
notext,0.41509433962264153,0.5789473684210527,0.4835164835164835,38,31,16,0.7153262495994568,0.5789473684210527
text,0.9279279279279279,0.869198312236287,0.8976034858387799,237,16,31,0.9617897868156433,
